,facility_address,facility_name,facility_city,grade,score,serial_number,points,violation_description,violation_status,time,activity_date,year
671362,4174 TWEEDY BLVD,TORTAS AHOGADAS EL REY #2,SOUTH GATE,B,86,DAS10JGSD,2.0,"# 23. No rodents, insects, birds, or animals",OUT OF COMPLIANCE,201604,2016-04-11,2016
860985,3845 E 3RD ST,7-ELEVEN,LOS ANGELES,A,90,DA7PQBWFP,1.0,"# 42. Toilet facilities: properly constructed, supplied, cleaned",OUT OF COMPLIANCE,201704,2017-04-28,2017
473201,144 N CATALINA AVE,CATALINA LIQUOR & DELI,REDONDO BEACH,A,96,DA0TLLGSO,1.0,# 25. Personal cleanliness and hair restraints,OUT OF COMPLIANCE,201610,2016-10-13,2016
634002,7221 VAN NUYS BLVD,PAPA JOHN'S PIZZA,VAN NUYS,A,95,DAGJB2AEA,2.0,# 01b. Food safety certification,OUT OF COMPLIANCE,201605,2016-05-04,2016
401248,10001 HAWTHORNE BLVD,NEW CHINA EXPRESS,INGLEWOOD,A,90,DA20EEEVN,1.0,# 39. Wiping cloths: properly used and stored,OUT OF COMPLIANCE,201601,2016-01-19,2016
61194,1345 N MONTEBELLO BLVD,COSTCO WHOLESALE #459,MONTEBELLO,A,95,DAVNRNDZB,1.0,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE,201601,2016-01-29,2016
243192,555 W 7TH ST,SEVEN BAR AND RESTAURANT,LOS ANGELES,A,96,DA161D7I4,1.0,"# 37. Adequate ventilation and lighting; designated areas, use",OUT OF COMPLIANCE,201603,2016-03-31,2016
856824,4755 W WASHINGTON BLVD,TAQUERIA JALISCO,LOS ANGELES,B,80,DABKSPOKU,1.0,# 43. Premises; personal/cleaning items; vermin-proofing,OUT OF COMPLIANCE,201603,2016-03-30,2016
578630,1019 W AVENUE L # 103,AHI HAWAIIAN BBQ,LANCASTER,A,92,DAGY5BN40,1.0,"# 35. Equipment/Utensils - approved; installed; clean; good repair, capacity",OUT OF COMPLIANCE,201611,2016-11-14,2016
104783,8210 GARVEY AVE,LOS TOROS TAQUERIA,ROSEMEAD,A,95,DAJU6FPU9,1.0,"# 35. Equipment/Utensils - approved; installed; clean; good repair, capacity",OUT OF COMPLIANCE,201707,2017-07-12,2017
519135,101 W MISSION BLVD STE 109,FLAME BROILER,POMONA,A,98,DAQ9IK1ZS,1.0,"# 36. Equipment, utensils and linens: storage and use",OUT OF COMPLIANCE,201607,2016-07-13,2016
832323,11844 FOOTHILL BLVD,LAKEVIEW TERRACE LIQUORS,SYLMAR,A,97,DAHYWRXC0,1.0,"# 35. Equipment/Utensils - approved; installed; clean; good repair, capacity",OUT OF COMPLIANCE,201602,2016-02-09,2016
898582,1603 DURFEE AVE,BURGER ZONE,SOUTH EL MONTE,B,88,DA6EP0NJ6,2.0,# 06. Adequate handwashing facilities supplied & accessible,OUT OF COMPLIANCE,201510,2015-10-07,2015
470840,11285 SANTA MONICA BLVD,7-ELEVEN STORES #25887,LOS ANGELES,B,82,DAGH4YC2K,1.0,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE,201701,2017-01-25,2017
490868,2619 E CARSON ST,BIONICOS Y TAQUERIA EL CABRITO,CARSON,A,90,DAYRF4FE4,1.0,"# 35. Equipment/Utensils - approved; installed; clean; good repair, capacity",OUT OF COMPLIANCE,201609,2016-09-28,2016
198340,2912 S SEPULVEDA BLVD,INT HOUSE OF PANCAKES,LOS ANGELES,A,94,DASRZ4TX5,1.0,"# 40. Plumbing: Plumbing in good repair, proper backflow devices",OUT OF COMPLIANCE,201611,2016-11-30,2016
209907,4320 REDONDO BEACH BLVD,CVS/PHARMACY #9475,TORRANCE,A,94,DAJD0PSL6,1.0,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE,201603,2016-03-28,2016
21518,7158 MELROSE AVE,WINCHELL'S DONUT #9356,LOS ANGELES,A,92,DAHPU2NHN,2.0,# 14. Food contact surfaces: clean and sanitized,OUT OF COMPLIANCE,201602,2016-02-24,2016
527835,303 S DIAMOND BAR BLVD STE #E&F,NEW INDIA SWEET & SPICES,DIAMOND BAR,A,95,DAOMA0JJL,1.0,"# 29. Toxic substances properly identified, stored, used",OUT OF COMPLIANCE,201601,2016-01-12,2016
878406,711 FAIR OAKS AVE # D,HAWAIIAN BBQ,SOUTH PASADENA,A,98,DANHLE6O1,1.0,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE,201605,2016-05-26,2016
604230,701 W GARVEY AVE,MANDARIN NOODLE HOUSE,MONTEREY PARK,A,93,DAFTUJRI2,2.0,# 06. Adequate handwashing facilities supplied & accessible,OUT OF COMPLIANCE,201507,2015-07-23,2015
801323,248 W HUNTINGTON DR,JACK IN THE BOX # 5430,MONROVIA,A,92,DASGQH2IQ,0.0,# 50. Impoundment of unsanitary equipment or food,OUT OF COMPLIANCE,201706,2017-06-27,2017
353573,111 W GARVEY AVE,T & A TEA,MONTEREY PARK,A,95,DAAPZXJQS,1.0,"# 35. Equipment/Utensils - approved; installed; clean; good repair, capacity",OUT OF COMPLIANCE,201703,2017-03-24,2017
310345,31537 CASTAIC RD,MIKE'S ORIGINAL DINER,CASTAIC,A,90,DAKPPN21V,1.0,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE,201704,2017-04-11,2017
561625,17976 VENTURA BLVD,PIZZA COOKERY,ENCINO,A,95,DA00AJRJI,1.0,"# 40. Plumbing: Plumbing in good repair, proper backflow devices",OUT OF COMPLIANCE,201510,2015-10-05,2015
277293,5700 SANTA MONICA BLVD,7-ELEVEN STORE #39744A,LOS ANGELES,A,90,DAY1JAK7S,2.0,# 06. Adequate handwashing facilities supplied & accessible,OUT OF COMPLIANCE,201610,2016-10-25,2016
474223,10401 VENICE BLVD STE #101B,KABOB GRILL,LOS ANGELES,A,94,DAGDMEAZO,1.0,# 25. Personal cleanliness and hair restraints,OUT OF COMPLIANCE,201611,2016-11-17,2016
290707,18525 BURBANK BLVD,FAMOUS ODESSA,TARZANA,A,93,DAZ00AKI9,2.0,# 21b. Water available,OUT OF COMPLIANCE,201611,2016-11-29,2016
116067,7871 SANTA MONICA BLVD,WHOLE FOODS MARKET #20,WEST HOLLYWOOD,B,85,DAU3FZ0MW,4.0,"# 23. No rodents, insects, birds, or animals",OUT OF COMPLIANCE,201606,2016-06-08,2016
125300,3015 N CENTRAL AVE,WING LEE FRESH,SOUTH EL MONTE,A,91,DAM20HJMI,1.0,"# 37. Adequate ventilation and lighting; designated areas, use",OUT OF COMPLIANCE,201601,2016-01-11,2016
419653,1625 S AZUSA AVE,99 RANCH MARKET #18,HACIENDA HEIGHTS,A,91,DAMK0DLTK,1.0,# 32. Food properly labeled & honestly presented,OUT OF COMPLIANCE,201708,2017-08-14,2017
108252,23329 LYONS AVE,DOMINO'S PIZZA,NEWHALL,A,97,DA9MJWJ8Z,1.0,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE,201512,2015-12-31,2015
647726,5253 HOLLYWOOD BLVD,CRISPY PORK GANG & GRILL,LOS ANGELES,B,88,DAGOMI9HQ,1.0,"# 35. Equipment/Utensils - approved; installed; clean; good repair, capacity",OUT OF COMPLIANCE,201604,2016-04-05,2016
781600,5255 1/2 S MAIN ST,LAS 3 LUNAS,LOS ANGELES,A,92,DARIHRJFA,1.0,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE,201609,2016-09-29,2016
348152,8150 GARVEY AVE # 117G,MASTER ZHOU,ROSEMEAD,A,90,DAJPBDHYF,1.0,"# 36. Equipment, utensils and linens: storage and use",OUT OF COMPLIANCE,201705,2017-05-25,2017
77454,3948 PECK RD # A7-8,SUNNY SHINE BBQ,EL MONTE,A,90,DAQL7DYWY,0.0,# 50. Impoundment of unsanitary equipment or food,OUT OF COMPLIANCE,201708,2017-08-02,2017
887890,6000 SEPULVEDA BLVD STE K108,SURF CITY SQUEEZE,CULVER CITY,B,85,DAAHGFCSD,4.0,# 07. Proper hot and cold holding temperatures,OUT OF COMPLIANCE,201607,2016-07-19,2016
604767,2401 DURFEE AVE,DON RAMIREZ  LIQUOR,EL MONTE,A,96,DA0NA0GMW,1.0,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE,201712,2017-12-26,2017
716596,44139 N SIERRA HWY,SAMMY'S RESTAURANT,LANCASTER,A,90,DAB08JEH0,1.0,# 30. Food properly stored; food storage containers identified,OUT OF COMPLIANCE,201702,2017-02-27,2017
365978,17920 S AVALON BLVD,7-ELEVEN STORE 341320,CARSON,A,93,DA3I52FZY,1.0,# 43. Premises; personal/cleaning items; vermin-proofing,OUT OF COMPLIANCE,201709,2017-09-20,2017
801835,1001 GLENDON AVE,RITE AID #5433,LOS ANGELES,A,96,DARSTH877,1.0,"# 36. Equipment, utensils and linens: storage and use",OUT OF COMPLIANCE,201607,2016-07-15,2016
54646,2030 SAWTELLE BLVD,OHANA BURGER,LOS ANGELES,A,90,DAIFJCLBV,1.0,# 46. Signs posted; last inspection report available,OUT OF COMPLIANCE,201608,2016-08-03,2016
176852,21909 VENTURA BLVD,RALPHS MARKET #81,WOODLAND HILLS,A,93,DAYANXJN2,1.0,"# 40. Plumbing: Plumbing in good repair, proper backflow devices",OUT OF COMPLIANCE,201507,2015-07-22,2015
92632,9463 GARVEY AVE STE A,PHO FILET,SOUTH EL MONTE,A,91,DABVIRY0S,1.0,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE,201507,2015-07-17,2015
314159,5107 CANDLEWOOD ST,COLD STONE CREAMERY,LAKEWOOD,B,80,DAS0V5LGE,1.0,# 43. Premises; personal/cleaning items; vermin-proofing,OUT OF COMPLIANCE,201607,2016-07-28,2016
648309,01836 PUENTE AVE,TAQUERIA Y BIRPIERIA EL COMP,BALDWIN PARK,A,92,DAFARZE7M,1.0,"# 42. Toilet facilities: properly constructed, supplied, cleaned",OUT OF COMPLIANCE,201602,2016-02-25,2016
583127,2619 E CARSON ST,BIONICOS Y TAQUERIA EL CABRITO,CARSON,B,83,DAUKUZPGI,1.0,# 46. Signs posted; last inspection report available,OUT OF COMPLIANCE,201712,2017-12-07,2017
392377,200 S GRAND AVE,COLBURN CAFE BON APPETIT,LOS ANGELES,A,97,DAA8PEEJL,1.0,"# 36. Equipment, utensils and linens: storage and use",OUT OF COMPLIANCE,201609,2016-09-27,2016
53736,1560 S AZUSA AVE,AMC THEATRES PUENTE HILLS 20,INDUSTRY,A,91,DASPCYPXU,1.0,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE,201509,2015-09-29,2015
273976,10250 SANTA MONICA BLVD # FC-10,JUICE SERVED HERE,LOS ANGELES,B,85,DA07EM0XJ,1.0,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE,201701,2017-01-10,2017
383368,4235 W EL SEGUNDO BLVD,JAVIER TACOS MEXICO # 9,HAWTHORNE,A,94,DAB8XMJ7A,2.0,# 07. Proper hot and cold holding temperatures,OUT OF COMPLIANCE,201707,2017-07-31,2017
523676,990 TOWNE CENTER DR #B,BLAZE PIZZA,LA CANADA FLINTRIDGE,A,95,DAJO2DBS4,2.0,# 01a. Demonstration of knowledge,OUT OF COMPLIANCE,201509,2015-09-22,2015
851354,3528 W SUNSET BLVD,MILLI'S CAFE,LOS ANGELES,A,95,DARC40OAW,0.0,# 48. Plan Review required for new or remodel construction,OUT OF COMPLIANCE,201611,2016-11-22,2016
524877,12721 GLENOAKS BLVD,FIDDLER'S,SYLMAR,A,91,DAYWHYNHD,1.0,"# 35. Equipment/Utensils - approved; installed; clean; good repair, capacity",OUT OF COMPLIANCE,201602,2016-02-18,2016
582233,380 WORLD WAY T38,BORDER GRILL,LOS ANGELES,A,95,DAMHOFWZJ,1.0,"# 37. Adequate ventilation and lighting; designated areas, use",OUT OF COMPLIANCE,201512,2015-12-01,2015
87167,956 S GLENDORA AVE,KING TORTA,WEST COVINA,A,93,DAP0GO6OA,2.0,# 07. Proper hot and cold holding temperatures,OUT OF COMPLIANCE,201708,2017-08-22,2017
247734,5615 HOLLYWOOD BLVD,CATCH 56,LOS ANGELES,A,95,DA9GRNVEG,1.0,# 39. Wiping cloths: properly used and stored,OUT OF COMPLIANCE,201606,2016-06-15,2016
746794,5165 E WHITTIER BLVD # 105,TACOS YURIS #2,LOS ANGELES,B,83,DAU5VAX2I,2.0,# 01b. Food safety certification,OUT OF COMPLIANCE,201601,2016-01-19,2016
403587,8405 ROSEMEAD BLVD,LOS PLEBES MARISCOS RESTAURA,PICO RIVERA,A,96,DAIOIBSZD,1.0,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE,201707,2017-07-20,2017
743335,4200 PECK RD E,PHO KIM,EL MONTE,A,95,DA0OJGZ7X,1.0,# 39. Wiping cloths: properly used and stored,OUT OF COMPLIANCE,201511,2015-11-17,2015
882758,5401 WASHINGTON BLVD,LAS CHAMPAS,COMMERCE,A,92,DAYY0ENJP,1.0,"# 42. Toilet facilities: properly constructed, supplied, cleaned",OUT OF COMPLIANCE,201606,2016-06-22,2016
726645,1229 E COLORADO ST,KIM'S KITCHEN,GLENDALE,A,92,DAA8EGNTJ,1.0,# 30. Food properly stored; food storage containers identified,OUT OF COMPLIANCE,201606,2016-06-23,2016
134696,346 N FORD BLVD,LA FARFALA COFFE SHOP,LOS ANGELES,A,97,DADB0V6V4,1.0,# 39. Wiping cloths: properly used and stored,OUT OF COMPLIANCE,201609,2016-09-14,2016
498061,16440 NORWALK BLVD,JANG DOK DAE,CERRITOS,A,91,DAA0PSKQY,1.0,# 43. Premises; personal/cleaning items; vermin-proofing,OUT OF COMPLIANCE,201707,2017-07-13,2017
10245,2734 N EASTERN AVE,JR BAKERY &  PIZZA,LOS ANGELES,B,87,DAZ9UZUIO,2.0,# 01a. Demonstration of knowledge,OUT OF COMPLIANCE,201609,2016-09-21,2016
860341,46 WINDWARD AVE,CAIRO COWBOY,VENICE,A,90,DADTB2IL0,2.0,# 14. Food contact surfaces: clean and sanitized,OUT OF COMPLIANCE,201603,2016-03-09,2016
686645,19463 VENTURA BLVD,MON RESTAURANT,TARZANA,A,91,DAOHT8IB6,2.0,"# 23. No rodents, insects, birds, or animals",OUT OF COMPLIANCE,201604,2016-04-13,2016
697555,12901 SHERMAN WAY STE D,TARON BAKERY,NORTH HOLLYWOOD,A,96,DAXLIWJG4,1.0,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE,201512,2015-12-22,2015
735429,14860 VANOWEN ST,MI CASITAS SALVADORENA,VAN NUYS,A,90,DA16RH61S,2.0,# 06. Adequate handwashing facilities supplied & accessible,OUT OF COMPLIANCE,201602,2016-02-22,2016
519293,4135 S CENTINELA AVE,NEW FLAVORS,LOS ANGELES, ,64,DA7M0FRFG,2.0,# 01a. Demonstration of knowledge,OUT OF COMPLIANCE,201708,2017-08-03,2017
435034,1212 N SAN FERNANDO BLVD,EXOTIC THAI CUISINE,BURBANK,A,97,DASK3VLBP,1.0,# 30. Food properly stored; food storage containers identified,OUT OF COMPLIANCE,201507,2015-07-29,2015
467179,10404 VALLEY BLVD,RICE PLUS TEA,EL MONTE,A,91,DAS0YEC9O,1.0,# 27. Food separated and protected,OUT OF COMPLIANCE,201710,2017-10-19,2017
515890,23403 AVALON BLVD,HONG KONG EXPRESS,CARSON,A,95,DACS7TWEA,1.0,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE,201608,2016-08-02,2016
288566,345 E 2ND ST,TEISHOKUYA OF TOKYO,LOS ANGELES,A,92,DAMVL4H3Z,1.0,"# 42. Toilet facilities: properly constructed, supplied, cleaned",OUT OF COMPLIANCE,201711,2017-11-07,2017
606366,4065 JACKSON AVE,JACKSON MARKET,CULVER CITY,A,97,DAYDHRXV3,1.0,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE,201701,2017-01-25,2017
192342,9641 SUNSET BLVD,B.H. HOTEL,BEVERLY HILLS,A,90,DAAFTXKSY,1.0,"# 35. Equipment/Utensils - approved; installed; clean; good repair, capacity",OUT OF COMPLIANCE,201605,2016-05-16,2016
104224,3900 VALLEY BLVD STE #A,SUGAR RUSH CAFE,WALNUT,A,94,DAPZLX4ND,1.0,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE,201703,2017-03-20,2017
815346,2813 S FIGUEROA ST,SOY JAPANESE GRILL & ROLL,LOS ANGELES,A,92,DAO2EUUAK,1.0,# 27. Food separated and protected,OUT OF COMPLIANCE,201605,2016-05-11,2016
757821,650 W HUNTINGTON DR,BED BATH & BEYOND #459,MONROVIA,A,100,DAMAAKXU0,0.0,No violation,No violation,201604,2016-04-27,2016
33628,9301 TAMPA AVE STE FC-4,VILLA ITALIAN KITCHEN,NORTHRIDGE,A,92,DACU51WBV,1.0,# 39. Wiping cloths: properly used and stored,OUT OF COMPLIANCE,201609,2016-09-01,2016
466994,5407 SEPULVEDA BLVD,5I INDOCHINE CUISINE,CULVER CITY,B,82,DAQAZIXDE,1.0,"# 37. Adequate ventilation and lighting; designated areas, use",OUT OF COMPLIANCE,201606,2016-06-14,2016
360461,121 W DUARTE RD,LOS CHILES LOCOS,MONROVIA,A,97,DA0HXIUPT,2.0,"# 23. No rodents, insects, birds, or animals",OUT OF COMPLIANCE,201712,2017-12-14,2017
480032,49744 GORMAN POST RD,GORMAN PLAZA MARKET,LEBEC,A,96,DALC6HSRJ,4.0,# 14. Food contact surfaces: clean and sanitized,OUT OF COMPLIANCE,201605,2016-05-13,2016
163369,3079 N SAN FERNANDO RD,7- ELEVEN STORE #39763A,LOS ANGELES,A,90,DA0MWQ5UV,1.0,# 43. Premises; personal/cleaning items; vermin-proofing,OUT OF COMPLIANCE,201611,2016-11-04,2016
732249,20905 LASSEN ST,ABC EXPRESS,CHATSWORTH,A,90,DA1FAWCDU,1.0,"# 29. Toxic substances properly identified, stored, used",OUT OF COMPLIANCE,201509,2015-09-21,2015
615824,8635 WILSHIRE BLVD,BRU`S WIFFLE & MORE,BEVERLY HILLS,A,93,DAUEKWY1X,1.0,# 39. Wiping cloths: properly used and stored,OUT OF COMPLIANCE,201608,2016-08-25,2016
701466,1240 LAKES DR,ANNA'S PIZZA,WEST COVINA,A,91,DAZVDNJWY,1.0,"# 35. Equipment/Utensils - approved; installed; clean; good repair, capacity",OUT OF COMPLIANCE,201706,2017-06-07,2017
289730,600 S NEW HAMPSHIRE AVE # F1,TOKYO HAMBURG,LOS ANGELES,A,96,DAJ6W4FJA,0.0,# 48. Plan Review required for new or remodel construction,OUT OF COMPLIANCE,201609,2016-09-20,2016
235631,914 E COLORADO ST,RED RIBBON BAKESHOP,GLENDALE,A,94,DAFIKYIIL,1.0,# 24. Person in charge present and performs duties,OUT OF COMPLIANCE,201601,2016-01-21,2016
409469,21420 HAWTHORNE BLVD,LUCILLE'S SMOKEHOUSE BARBQUE,TORRANCE,A,97,DAUCBTFSJ,1.0,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE,201510,2015-10-22,2015
422692,457 W FOOTHILL BLVD,MORELOS RESTAURANT,MONROVIA,A,94,DAKUDLMSO,1.0,"# 35. Equipment/Utensils - approved; installed; clean; good repair, capacity",OUT OF COMPLIANCE,201511,2015-11-03,2015
160110,22540 S WESTERN AVE STE B,ONE STOP LIQUOR MART,TORRANCE,A,97,DANAUF5GG,1.0,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE,201709,2017-09-14,2017
888819,2311 E AVENUE S STE F1,VINCE'S PASTA & PIZZA,PALMDALE,A,98,DAZLQAF7L,1.0,"# 37. Adequate ventilation and lighting; designated areas, use",OUT OF COMPLIANCE,201608,2016-08-31,2016
849841,4933 E WHITTIER BLVD,L A WHITTIER BAKERY,LOS ANGELES,A,90,DABCPOYMN,1.0,"# 40. Plumbing: Plumbing in good repair, proper backflow devices",OUT OF COMPLIANCE,201709,2017-09-27,2017
229274,8653 SUNSET BLVD,BBCM,WEST HOLLYWOOD,A,91,DAIYF05VB,1.0,"# 34. Warewashing facilities: Adequate, maintained, properly use, test strips available",OUT OF COMPLIANCE,201711,2017-11-02,2017
900197,44205 20TH ST W,MARIBEL'S,LANCASTER,A,96,DA6SBZOE0,2.0,# 01b. Food safety certification,OUT OF COMPLIANCE,201710,2017-10-23,2017
638502,410 W WASHINGTON BLVD,ARMENIAN CULTURE FOUNDATION,MONTEBELLO,A,90,DAKYF9QQD,4.0,# 07. Proper hot and cold holding temperatures,OUT OF COMPLIANCE,201603,2016-03-09,2016
822297,3233 FOOTHILL BLVD,VONS MARKET #2598,LA CRESCENTA,A,93,DA4MTGNER,1.0,"# 40. Plumbing: Plumbing in good repair, proper backflow devices",OUT OF COMPLIANCE,201605,2016-05-12,2016
895308,9840 FLOWER ST,EL BELEN MEXICAN RESTAURANT,BELLFLOWER,A,92,DAGK0CQDN,2.0,"# 23. No rodents, insects, birds, or animals",OUT OF COMPLIANCE,201511,2015-11-04,2015
821000,317 S BROADWAY STE #41,SARITA'S PUPUSERIA,LOS ANGELES,A,96,DAWFJS40D,1.0,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE,201604,2016-04-21,2016
611211,8527 LONG BEACH BLVD,MARISCOS MANZANILLO,SOUTH GATE,A,94,DAN3WFYHP,1.0,"# 35. Equipment/Utensils - approved; installed; clean; good repair, capacity",OUT OF COMPLIANCE,201605,2016-05-27,2016
683612,1636 SILVER LAKE BLVD,LAMILL COFFEE BOUTIQUE,LOS ANGELES,A,94,DABJMBW77,1.0,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE,201606,2016-06-20,2016
151182,600 IKEA WAY,IKEA #399,BURBANK,A,97,DA24JLR74,1.0,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE,201705,2017-05-16,2017
237362,13420 MAXELLA AVE # #C20,THE COFFEE BEAN & TEA LEAF,MARINA DEL REY,A,94,DAFLDZHCN,2.0,# 14. Food contact surfaces: clean and sanitized,OUT OF COMPLIANCE,201702,2017-02-28,2017
691217,360 LOS CERRITOS MALL,RED ROBIN RESTAURANT,CERRITOS,A,92,DARLJZ2J7,1.0,"# 40. Plumbing: Plumbing in good repair, proper backflow devices",OUT OF COMPLIANCE,201509,2015-09-30,2015
381226,2525 N HOLLYWOOD WAY,DENNY'S #7802,BURBANK,A,94,DAC5NEHJR,1.0,"# 36. Equipment, utensils and linens: storage and use",OUT OF COMPLIANCE,201610,2016-10-18,2016
867545,12746 W JEFFERSON BLVD,WHOLE FOODS MARKET,LOS ANGELES,A,90,DARQGINJF,2.0,# 06. Adequate handwashing facilities supplied & accessible,OUT OF COMPLIANCE,201507,2015-07-28,2015
299447,1831 W GLENOAKS BLVD,FRUZION,GLENDALE,A,98,DAP0QPQON,1.0,"# 34. Warewashing facilities: Adequate, maintained, properly use, test strips available",OUT OF COMPLIANCE,201711,2017-11-06,2017
436861,510 S LORENA ST,EL CEMITERO PLOBLANO,LOS ANGELES,A,93,DATYIVEVD,1.0,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE,201611,2016-11-17,2016
104805,29701 S WESTERN AVE # 103,BURATTINO BRICK OVEN PIZZA,RANCHO PALOS VERDES,A,91,DATCYDVIY,1.0,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE,201610,2016-10-25,2016
327765,6600 TOPANGA CANYON BLVD # 1008,MAHALO POKE,CANOGA PARK,A,91,DAAMTCFE6,2.0,# 21b. Water available,OUT OF COMPLIANCE,201607,2016-07-06,2016
427143,3803 W BURBANK BLVD,MI LATIN KITCHEN,BURBANK,C,72,DAHRLJHP9,1.0,# 30. Food properly stored; food storage containers identified,OUT OF COMPLIANCE,201606,2016-06-02,2016
675172,2360 MOUNTAIN VIEW RD,LA MEXICANA BAKERY #2,SOUTH EL MONTE,A,92,DA1WKF5AE,1.0,"# 35. Equipment/Utensils - approved; installed; clean; good repair, capacity",OUT OF COMPLIANCE,201510,2015-10-26,2015
538649,512 N MONTEBELLO BLVD,TORTAS Y ANTOJITOS MEXICANOS,MONTEBELLO,A,94,DAYBOBTSL,2.0,# 14. Food contact surfaces: clean and sanitized,OUT OF COMPLIANCE,201603,2016-03-30,2016
716900,10450 NATIONAL BLVD,HU'S  RESTAURANT,LOS ANGELES,A,92,DAJZNQIW7,1.0,# 39. Wiping cloths: properly used and stored,OUT OF COMPLIANCE,201507,2015-07-30,2015
426408,4461 LENNOX AVE,AMEZCUA'S BAKERY,LENNOX,A,91,DAIAZCYPA,1.0,# 43. Premises; personal/cleaning items; vermin-proofing,OUT OF COMPLIANCE,201510,2015-10-23,2015
344234,1249 N VINE ST,BLISS ART HOUSE CAFE,LOS ANGELES,A,92,DA5JEESM9,1.0,# 30. Food properly stored; food storage containers identified,OUT OF COMPLIANCE,201603,2016-03-07,2016
8021,11800 E ARTESIA BLVD,WALGREENS PHARMACY #5773,ARTESIA,A,97,DATGT3WSS,1.0,# 43. Premises; personal/cleaning items; vermin-proofing,OUT OF COMPLIANCE,201703,2017-03-10,2017
10170,39922 W 10TH ST W,PANDA EXPRESS #1042,PALMDALE,A,98,DA1SK4YON,1.0,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE,201701,2017-01-05,2017
680459,15313 PARTHENIA ST,DALES JR LIQUOR,NORTH HILLS,A,92,DAPJIFLZG,1.0,# 27. Food separated and protected,OUT OF COMPLIANCE,201609,2016-09-13,2016
581444,9444 TELEGRAPH RD,GOLDEN BAKERS,DOWNEY,A,92,DARTMWTGA,1.0,"# 36. Equipment, utensils and linens: storage and use",OUT OF COMPLIANCE,201601,2016-01-12,2016
150237,101 W MISSION BLVD STE 109,FLAME BROILER,POMONA,A,90,DAX94CLRK,1.0,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE,201710,2017-10-19,2017
538246,22815 VICTORY BLVD STE #C,BAJA FRESH MEXICAN GRILL,WEST HILLS,A,94,DA2XTQPWS,1.0,# 39. Wiping cloths: properly used and stored,OUT OF COMPLIANCE,201706,2017-06-30,2017
597895,1433 N LA BREA AVE,CRAZY GIRLS,LOS ANGELES,A,90,DA4DXYFAF,2.0,# 01b. Food safety certification,OUT OF COMPLIANCE,201605,2016-05-18,2016
73151,18511 PIONEER BLVD,RASBHOG SWEETS & SNACKS,ARTESIA,A,97,DAYMSG9OG,1.0,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE,201508,2015-08-12,2015
74998,735 S FIGUEROA ST #210,SPRINKLES CALIFORNIA LLC,LOS ANGELES,A,93,DAPIRMMI9,1.0,# 43. Premises; personal/cleaning items; vermin-proofing,OUT OF COMPLIANCE,201712,2017-12-19,2017
661126,9100 TAMPA AVE,THE VITAMIN SHOPPE #139,NORTHRIDGE,A,94,DAC1MNXIF,1.0,# 46. Signs posted; last inspection report available,OUT OF COMPLIANCE,201603,2016-03-22,2016
39036,10027 S MILLS AVE,DBA BURRITO TRACK NO 2,WHITTIER,A,96,DAL2XMEF5,1.0,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE,201710,2017-10-03,2017
292321,514 S BRAND BLVD,FRESCO RISTORANTE,GLENDALE,A,90,DAGRD8TXA,1.0,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE,201510,2015-10-15,2015
